nazwa;wojewodztwo;powiat;gmina;miejscowosc;ulica;budynek;latitude;longitude
OSP Zawady;MAZOWIECKIE;warszawski zachodni;Kampinos;Zawady;;24;53.1603858;23.099622883727918
Ochotnicza Straż Pożarna w Goworowie;MAZOWIECKIE;ostrołęcki;Goworowo;Goworowo;Ostrołęcka;31;52.9026473;21.5631098
Ochotnicza Straż Pożarna w Wielgorzu;MAZOWIECKIE;siedlecki;Mordy;Wielgorz;;30;52.15726;22.48187
Ochotnicza Straż Pożarna w Wiśniewie;MAZOWIECKIE;siedlecki;Wiśniew;Wiśniew;Siedlecka;13;52.0741632;22.2936819
OSP Garwolin;MAZOWIECKIE;garwoliński;Garwolin;Garwolin;ul. Kardynała Stefana Wyszyńskiego;5;51.8939703;21.609613547682947
Ochotnicza Straż Pożarna w Wodyniach;MAZOWIECKIE;siedlecki;Wodynie;Wodynie;Siedlecka;43;52.0400601;21.9580515
OSP Stanisławów;MAZOWIECKIE;miński;Stanisławów;Stanisławów;Szkolna;10;52.2922846;21.544319818026565
Ochotnicza Straż Pożarna w Zbuczynie;MAZOWIECKIE;siedlecki;Zbuczyn;Zbuczyn;Dębowa;2;52.0887522;22.441093
OSP Stawiszyn;MAZOWIECKIE;białobrzeski;Białobrzegi;Stawiszyn;;31;51.600139;20.927097
OSP Gocław;MAZOWIECKIE;garwoliński;Pilawa;Gocław;3 Maja;82;52.00982;21.55785
Ochotnicza Straż Pożarna w Czerwinie;MAZOWIECKIE;ostrołęcki;Czerwin;Czerwin;Szkolna;1;52.951269;21.7580387
Ochotnicza Straż Pożarna w Kotorydzu;MAZOWIECKIE;piaseczyński;Tarczyn;Kotorydz;Warszawska;9;52.0014957;20.868110761378404
Ochotnicza Straż Pożarna w Gołąbku;MAZOWIECKIE;siedlecki;Skórzec;Gołąbek;Szkolna;22;52.09181;22.19142
OSP Żdżary;MAZOWIECKIE;grójecki;Nowe Miasto nad Pilicą;Żdżary;;29A;51.94748415;22.214708115701782
Ochotnicza Straż Pożarna w Mrokowie;MAZOWIECKIE;piaseczyński;Lesznowola;Mroków;Marii Świątkiewicz;2;52.0394847;20.8594339
OSP Sucha`;MAZOWIECKIE;białobrzeski;Białobrzegi;Sucha;Szlachecka;50;51.6193366;20.9508395
Ochotnicza Straż Pożarna w Graczach;OPOLSKIE;opolski;Niemodlin;Gracze;Niemodlińska;50;50.6963826;17.548340192007615
OSP Sulejówek;MAZOWIECKIE;miński;Sulejówek;Sulejówek;Świętochowskiego;15;52.2448813;21.2960956
Ochotnicza Straż Pożarna w Kuninie;MAZOWIECKIE;ostrołęcki;Goworowo;Kunin;;23 A;52.2301933;18.2521112
Ochotnicza Straż Pożarna w Tarczynie;MAZOWIECKIE;piaseczyński;Tarczyn;Tarczyn;Komornicka;4;51.97821;20.83459
Ochotnicza Straż Pożarna w Grabinie;OPOLSKIE;opolski;Niemodlin;Grabin;Nyska;80;50.59724465;17.522870026247368
OSP Gończyce;MAZOWIECKIE;garwoliński;Sobolew;Gończyce;Gończyce;106;51.7888544;21.7337688
OSP Olszamy;MAZOWIECKIE;białobrzeski;Promna;Olszamy;;23;51.73676605;20.93182391889629
Ochotnicza Straż Pożarna w Wągrodnie;MAZOWIECKIE;piaseczyński;Prażmów;Wągrodno;Słoneczna;2;51.9576;21.02729
Ochotnicza Straż Pożarna w Antoniowie;OPOLSKIE;opolski;Ozimek;Antoniów;Powstańców Śląskich;52;50.6865888;18.2044395
Ochotnicza Straż Pożarna w Troszynie;MAZOWIECKIE;ostrołęcki;Troszyn;Troszyn;Szkolna;1;53.0313212;21.7305115
Ochotnicza Straż Pożarna w Wojciechowicach;MAZOWIECKIE;piaseczyński;Góra Kalwaria;Wojciechowice;Lipowa;54;51.9995433;21.08423531900941
